observation_date,FPCPITOTLZGAUS
1960-01-01,3.728821503973500
1961-01-01,2.287580407193090
1962-01-01,-0.319488641462281
1963-01-01,0.641025285901932
1964-01-01,2.866226698843140
1965-01-01,3.405584766769810
1966-01-01,3.293411469303300
1967-01-01,3.478259126948240
1968-01-01,2.521007182784940
1969-01-01,3.278686976208660
1970-01-01,3.439151866552030
1971-01-01,6.138108387303410
1972-01-01,6.024104079845350
1973-01-01,9.090904329316340
1974-01-01,15.416677269477599
1975-01-01,15.162420201161501
1976-01-01,13.322902979649500
1977-01-01,12.309826751737500
1978-01-01,8.004904393767751
1979-01-01,9.122020568722650
1980-01-01,10.135848939603401
1981-01-01,9.487661366498720
1982-01-01,11.351832130851500
1983-01-01,10.038900395751901
1984-01-01,3.960408445038470
1985-01-01,6.734685998745010
1986-01-01,9.050353233216541
1987-01-01,8.533003558020820
1988-01-01,7.215957167987100
1989-01-01,7.533898528249550
1990-01-01,7.333023683752690
1991-01-01,3.176668722773080
1992-01-01,1.012228241059770
1993-01-01,1.753657517705270
1994-01-01,1.969635070941020
1995-01-01,4.627764453681680
1996-01-01,2.615379024316310
1997-01-01,0.224895027032537
1998-01-01,0.860129922016289
1999-01-01,1.483139466572670
2000-01-01,4.457437059208690
2001-01-01,4.407129985615330
2002-01-01,2.981571170474570
2003-01-01,2.732597548389370
2004-01-01,2.343256871312650
2005-01-01,2.691829496221970
2006-01-01,3.555286969729840
2007-01-01,2.327614426231590
2008-01-01,4.350297266640930
2009-01-01,1.771120256816560
2010-01-01,2.918337021122200
2011-01-01,3.303847846810810
2012-01-01,1.762782990522280
2013-01-01,2.449882481092590
2014-01-01,2.487929320804920
2015-01-01,1.508368031384630
2016-01-01,1.276993657203060
2017-01-01,1.948643090656530
2018-01-01,1.911400028185790
2019-01-01,1.610770929127000
2020-01-01,0.846900734607273
2021-01-01,2.863912847093180
2022-01-01,6.594096587178410
2023-01-01,5.597017922967070
2024-01-01,3.166566654287970
