observation_date,IR3TBB01AUQ156N
1968-01-01,5.1333333333333293
1968-04-01,5.3166666666666700
1968-07-01,5.0833333333333295
1968-10-01,4.9333333333333300
1969-01-01,5.1166666666666707
1969-04-01,5.5999999999999996
1969-07-01,5.9000000000000004
1969-10-01,5.6500000000000004
1970-01-01,6.4166666666666705
1970-04-01,8.8000000000000007
1970-07-01,6.8499999999999996
1970-10-01,6.3666666666666707
1971-01-01,7.4000000000000004
1971-04-01,7.9166666666666705
1971-07-01,6.6500000000000004
1971-10-01,6.0666666666666700
1972-01-01,5.5333333333333297
1972-04-01,5.6166666666666707
1972-07-01,4.5666666666666700
1972-10-01,4.6166666666666707
1973-01-01,4.9833333333333298
1973-04-01,6.2000000000000002
1973-07-01,7.3833333333333293
1973-10-01,9.3666666666666707
1974-01-01,9.6166666666666707
1974-04-01,18.9333333333333016
1974-07-01,13.9333333333332998
1974-10-01,10.1500000000000004
1975-01-01,8.9000000000000004
1975-04-01,9.1666666666666696
1975-07-01,8.1333333333333293
1975-10-01,7.9000000000000004
1976-01-01,8.1333333333333293
1976-04-01,10.0399999999999991
1976-07-01,9.4466666666666708
1976-10-01,9.3399999999999999
1977-01-01,9.3233333333333412
1977-04-01,10.9166666666666998
1977-07-01,10.6833333333332998
1977-10-01,9.9266666666666712
1978-01-01,9.6933333333333298
1978-04-01,10.6966666666666992
1978-07-01,9.7533333333333303
1978-10-01,9.2300000000000004
1979-01-01,8.7566666666666588
1979-04-01,10.4066666666667000
1979-07-01,9.8366666666666589
1979-10-01,10.0933333333333000
1980-01-01,10.5199999999999996
1980-04-01,13.6466666666667003
1980-07-01,12.2966666666667006
1980-10-01,11.6466666666667003
1981-01-01,13.5333333333332995
1981-04-01,16.1833333333333016
1981-07-01,15.4866666666667001
1981-10-01,14.9499999999999993
1982-01-01,17.4066666666666983
1982-04-01,19.4699999999999989
1982-07-01,16.6400000000000006
1982-10-01,13.8200000000000003
1983-01-01,13.2266666666667003
1983-04-01,13.4366666666666994
1983-07-01,12.0066666666666997
1983-10-01,10.1266666666667007
1984-01-01,11.8566666666666993
1984-04-01,13.4900000000000002
1984-07-01,11.4633333333332992
1984-10-01,11.5899999999999999
1985-01-01,14.1500000000000004
1985-04-01,15.6899999999999995
1985-07-01,16.0566666666667004
1985-10-01,18.0333333333332995
1986-01-01,17.8999999999999986
1986-04-01,15.0566666666667004
1986-07-01,16.7666666666667012
1986-10-01,16.0833333333333002
1987-01-01,16.3233333333332986
1987-04-01,14.3000000000000007
1987-07-01,12.4100000000000001
1987-10-01,11.9666666666667005
1988-01-01,10.9833333333333005
1988-04-01,12.2566666666666997
1988-07-01,13.3466666666666995
1988-10-01,14.6133333333332995
1989-01-01,16.4499999999999993
1989-04-01,17.7833333333332995
1989-07-01,18.0466666666666988
1989-10-01,18.1666666666666998
1990-01-01,16.4566666666666990
1990-04-01,15.0700000000000003
1990-07-01,14.0899999999999999
1990-10-01,12.5566666666667004
1991-01-01,11.6799999999999997
1991-04-01,10.8233333333333004
1991-07-01,10.0166666666666995
1991-10-01,8.3833333333333400
1992-01-01,7.4933333333333296
1992-04-01,6.7199999999999998
1992-07-01,5.7699999999999996
1992-10-01,5.8799999999999999
1993-01-01,5.6933333333333298
1993-04-01,5.2133333333333294
1993-07-01,4.8966666666666701
1993-10-01,4.8033333333333292
1994-01-01,4.8300000000000001
1994-04-01,4.9633333333333294
1994-07-01,5.6466666666666603
